# Vybe swap demo — token catalog from Jupiter datapi (Top list)
# Source: https://datapi.jup.ag/v1/assets/search?query=&limit=100
# Denylist: public/data/token-catalog-excluded.json (0 mints)
# Icons: /data/token-icons/ (run npm run download:token-icons to refresh)
# Columns: mint	symbol	name	logoUrl	decimals	tags
# Regenerate: npm run fetch:catalog
# Filter routes: npm run filter:catalog
mint	symbol	name	logoUrl	decimals	tags
Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ	QQQx	Nasdaq xStock	/data/token-icons/Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ.png	8	Token2022
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv	PENGU	Pudgy Penguins	/data/token-icons/2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv.png	6	
68Nq68CrtLVpyvK5Un7UADiNczaGf39hBbj3diRsYj6D	NEST	Nest	https://crimson-raw-koala-952.mypinata.cloud/ipfs/bafkreicc2k264crqmx6dve4mu6nzksdc7r5szx2jzmwsm2agsi6wemlpmi	9	
J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump	TripleT	Tung Tung Tung Sahur	/data/token-icons/J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump.jpg	6	Token2022
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL	JTO	JITO	/data/token-icons/jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL.png	9	
CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn	xBTC	OKX Wrapped BTC	/data/token-icons/CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn.png	8	
SLXdx4BUt2v9uJQNzWqSfzTJ9UKLUDsvxHFMEEdrfgq	SLX	Solstice	/data/token-icons/SLXdx4BUt2v9uJQNzWqSfzTJ9UKLUDsvxHFMEEdrfgq.png	6	
Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8	SPCXx	SpaceX xStock	/data/token-icons/Xs3oZwbHvqis4NYcf4YKWmEia2eC84wSiVrcYcTqpH8.png	8	Token2022
BoTx8y9ynfdxf5ZjWtCoBVkff52qKA82ysaLU8ZM6d8T	BOT	RoboStrategy - Backpack Securities	/data/token-icons/BoTx8y9ynfdxf5ZjWtCoBVkff52qKA82ysaLU8ZM6d8T.svg	6	Token2022
6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump	TOESCOIN	TOES	/data/token-icons/6ehEcTMCc85aNF4x9CWx8HuvWGhxQtvKdhKVf2HDpump.png	6	Token2022
